2,380000000,345,672,406,91,1,1,1,1
3,380000000,359,672,403,91,1,1,1,1
3,290000000,1353,660,126,33,1,1,1,1
4,380000000,367,671,410,93,1,1,1,1
4,290000000,1351,660,126,33,1,1,1,1
5,380000000,378,672,407,91,1,1,1,1
5,290000000,1350,661,123,32,1,1,1,1
6,380000000,393,673,400,90,1,1,1,1
6,290000000,1347,661,125,33,1,1,1,1
7,380000000,403,671,412,92,1,1,1,1
7,290000000,1345,661,126,33,1,1,1,1
8,380000000,426,672,404,91,1,1,1,1
8,290000000,1345,661,124,33,1,1,1,1
9,380000000,437,672,401,91,1,1,1,1
9,290000000,1342,661,127,33,1,1,1,1
10,380000000,461,674,386,87,1,1,1,1
10,290000000,1341,661,125,33,1,1,1,1
11,380000000,476,674,380,85,1,1,1,1
11,290000000,1340,662,125,32,1,1,1,1
12,380000000,489,673,379,85,1,1,1,1
12,290000000,1339,662,125,32,1,1,1,1
